title,company,location,how old,link
BACK-END PYTHON DEVELOPER,Bluestorm Software,"São Luís, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c7b6487b63d4d74f&fccid=e231d2c2b5d748f4&vjs=3
Desenvolvedor(a) Back End Python Pleno,ONOVOLAB TALENTS,"São Carlos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6f5e181ba4163b6b&fccid=7abfc9653f7ef32d&vjs=3
Developer Python Mid Level,Ci&T,Brasil,há 6 dias,https://br.indeed.com/rc/clk?jk=b963d4899fe5941a&fccid=289d7ce11c250f70&vjs=3
Operations Specialist - 99Food - D6/D7,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=01a9e03d5e02331e&fccid=7c874ded2b2c6886&vjs=3
Senior Python Engineer - International Project,Kobe - Creative Software House,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a798d641c463b125&fccid=e24edbebe3d28e99&vjs=3
ESTAGIÁRIO EM ANÁLISE DE DADOS - OURINHOS,Webby Internet,"Ourinhos, SP",há 15 dias,https://br.indeed.com/rc/clk?jk=511c415e42e4804c&fccid=2ffd9bae80ea337f&vjs=3
DevOps Python Developer PL/SR,Share RH,"Campinas, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=d42e7b05eaeacde3&fccid=a348a1a87f84f063&vjs=3
Python Developer | Full Remoto,DEXTRA,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=965ebb2695f3a192&fccid=f11cf1a9f70181d8&vjs=3
Desenvolvedor(a) Python,Athon Energia,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=6ec3ef2f4da48acd&fccid=950b01f4044c27c7&vjs=3
Pipeline - Operations Manager - DiDi Food,99,Brasil,há 4 dias,https://br.indeed.com/rc/clk?jk=935859c6756870b8&fccid=7c874ded2b2c6886&vjs=3
"VAGA DE ESTÁGIO CAMPINAS-ENGENHARIA ELETRÔNICA , AUTOMAÇÃO E ROBÓTICA, MECATRÔNICAa - Super Estágios",BURH,"Campinas, SP",há 13 dias,https://br.indeed.com/rc/clk?jk=6c67e11103c0fc07&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,Hagloo,Remoto,há 13 dias,https://br.indeed.com/rc/clk?jk=8c49bdcc38263d2c&fccid=2f967bb1c5335960&vjs=3
Senior Python Back End Engineer (Remote-LATAM),Loadsmart,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=dfab101c198fe7b7&fccid=bf02915605893e1a&vjs=3
[RACCOON] Efetivos | Data & Analytics,Raccoon Marketing Digital,"São Carlos, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=828c20d1886b7bff&fccid=0a863030644536c6&vjs=3
Desenvolvedor Python - Crawler,Gaivota,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7c7739501cfcd9bc&fccid=4eb39ccae4f25de0&vjs=3
Pessoa Desenvolvedora Jr. (Vaga Remota),Carreiras Méliuz,"Belo Horizonte, MG",há 12 dias,https://br.indeed.com/rc/clk?jk=995c43ba8428c254&fccid=0c9a6edb9db7bea6&vjs=3
Senior Software QE,Wiley,"Curitiba, PR",Recém publicada,https://br.indeed.com/rc/clk?jk=a1c2300c73cfe1ec&fccid=bee6abba453010ff&vjs=3
Full-stack Python/Django developer [Remote - BR],Jobylon AB,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2d33c09e2d26ebca&fccid=c244b728966c24b1&vjs=3
Gerente de Operações,RankMyAPP,Brasil,há 4 dias,https://br.indeed.com/rc/clk?jk=34e84dbfffcf6f22&fccid=a1c984a5f94337ec&vjs=3
Data Scientist (Remote),Blue Orange Digital,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/company/Blue-Orange-Digital/jobs/Data-Scientist-158b9a370b395b2d?fccid=520d66e09adbdba5&vjs=3
Desenvolvedor(a) Júnior,Sonata,Remoto,há 10 dias,https://br.indeed.com/rc/clk?jk=4596b03dba0f29e9&fccid=67503e935668dbf7&vjs=3
Analista de Infraestrutura (SRE) Junior,Zenvia Mobile,Brasil,há 6 dias,https://br.indeed.com/rc/clk?jk=667396d7ee4f006f&fccid=715a132a3d100cc5&vjs=3
Estágio,Oportunidades Petros,"Rio de Janeiro, RJ",há 2 dias,https://br.indeed.com/rc/clk?jk=ec69cb24a092880b&fccid=e6d2cf10a2fcfaa7&vjs=3
Analista de Dados,CWI Software,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=bca818a3a5eb4d84&fccid=a64651178efd73c0&vjs=3
Information Security Intern,Samsung Electronics,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4247d93ea2b4d6ed&fccid=da3c7fed78dd1607&vjs=3
Senior Game Development Engineer,Javary Co.,"Pinheiros, SP",Hoje,https://br.indeed.com/rc/clk?jk=07bce99c726053ca&fccid=edb0a6e03a9c4b05&vjs=3
Especialista NLP,Compasso UOL,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2a39132c07e5cd20&fccid=6621f80bf2653f52&vjs=3
[Culture] Python Backend Developer,ília,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3eeac35be5dafc04&fccid=b27d2e8ddef5c8b0&vjs=3
