title,company,location,how old,link
"1 VAGA – BACK END SENIOR (NodeJS, Java E Python) – RIO DE JANEIRO –",3CON Consultoria e Sistemas,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=207f127ec9301f06&fccid=dbfde4c1dfc42c7f&vjs=3
Product Engineer II,Cadence Design Systems,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2a1f863661bfc819&fccid=391006290e845887&vjs=3
Senior Technical Writer,Avalara,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=337768f6c798d587&fccid=ec30d82962c8b13b&vjs=3
Coordenador Analytics,C&A,"Barueri, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4a0d50b4d9c0d306&fccid=a4cd2f6890a2a328&vjs=3
Desenvolvedor(a) Back-end Python sênior (remoto),GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=81a1ae6a084ed5c1&fccid=9ba8dec3013c0c90&vjs=3
Consultor Solucoes Digitais IV,Capgemini,"São Paulo, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=c7e3395e5125cb89&fccid=105ecfd0283f415f&vjs=3
Analista Desenvolvedor NodeJS/Python/AWS Lambda,Grupo Mult,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1086049812b8ff17&fccid=e2fac9bfc0cf550e&vjs=3
Data Scientist,DataEx,"Jundiaí, SP",há 25 dias,https://br.indeed.com/rc/clk?jk=2ae0e74bcf92aca8&fccid=d3281dbc5e751906&vjs=3
Analista de Performance Pleno,tembici.,"São Paulo, SP",há 13 dias,https://br.indeed.com/rc/clk?jk=06094d8bdaa89ed5&fccid=90220ad0f8ca290d&vjs=3
Software Architect,Serasa,"Blumenau, SC",há 5 dias,https://br.indeed.com/rc/clk?jk=72aaece1b6d63900&fccid=75a3a5a15b202084&vjs=3
Researcher Specialist (AI),Samsung Electronics,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3da7234df9ccd98f&fccid=da3c7fed78dd1607&vjs=3
Global Data Engineering Specialist,Zx Ventures,"São Paulo, SP",há 9 dias,https://br.indeed.com/rc/clk?jk=7e7ecec6c1ee892b&fccid=f19a84c367782cca&vjs=3
Operations Specialist,Loft,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=b1e5f3b8d01cb7f5&fccid=4b1d61db47b337be&vjs=3
Data Analyst Pleno,SuperSim,"São Paulo, SP",há 27 dias,https://br.indeed.com/rc/clk?jk=62500129d1a0e55d&fccid=61e49236fd01be3a&vjs=3
Analista de Dados SR (Data Visualization),MadeiraMadeira,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=37b8b30465040477&fccid=7522264cf9717691&vjs=3
Analista de Tecnologia Python,Americas Health,"Goiânia, GO",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4a6a71af5d45b6d4&fccid=4e758cd4a7f3a8f6&vjs=3
ESTÁGIO EM APRENDIZADO DE MÁQUINAS,Eldorado,"Campinas, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=1c96007228dbaac4&fccid=70cf64a0b596b733&vjs=3
Analista Suporte Pl,Vivo Digital,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0205e7010a49bb0e&fccid=0512219b6126f1f6&vjs=3
Analista de Ciência de Dados - Sênior,MAGNA SISTEMAS,"São Paulo, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=41576dcb5e0a5837&fccid=7b9bfd9f10fe90c2&vjs=3
Search Engineer Robotics,Serasa,"Blumenau, SC",há 5 dias,https://br.indeed.com/rc/clk?jk=f70efc598c59bbe0&fccid=75a3a5a15b202084&vjs=3
Estágios Nível Superior para atuar na área de Arquitetura & Pesquisa,Dígitro,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5b97d053821926f2&fccid=74915234278a41ef&vjs=3
Desenvolvedor de Software em Processamento de Fala MS - (Campinas e Recife),SiDi,"Recife, PE",há 20 dias,https://br.indeed.com/rc/clk?jk=773713607ad5e4fd&fccid=d944f1c7c41daa58&vjs=3
Analista de BI,Mazzatech,"Rio de Janeiro, RJ",há 13 dias,https://br.indeed.com/rc/clk?jk=c53c3cab5e24cea0&fccid=7d320c75db933aec&vjs=3
Deep Learning Solution Architect,NVIDIA,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ace8736d203475b8&fccid=c267f29f0f85e8b8&vjs=3
Arquiteto(a) de Dados Sr. (LID),Scania Latin America,"São Bernardo do Campo, SP",há 27 dias,https://br.indeed.com/rc/clk?jk=95621113574b8fb4&fccid=cb56934b721d3afe&vjs=3
Programador(a) Sênior (Python),Philips,"Blumenau, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=723096f9f12760b3&fccid=e4af9ca5b6d3a604&vjs=3
Analista de Sistemas Jr,Wilson Sons,"Rio de Janeiro, RJ",há 11 dias,https://br.indeed.com/rc/clk?jk=0dc13a12991fc3b3&fccid=937439d7959e38ef&vjs=3
Analista Sr (Data Science),GPA,"São Paulo, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=d648a0b233bb3be4&fccid=83fb4cf0f3db6c61&vjs=3
Developer Python/React Sênior,Ci&T,Brasil,há 25 dias,https://br.indeed.com/rc/clk?jk=abf298e1546716db&fccid=289d7ce11c250f70&vjs=3
Remote Data Engineer Pleno,will bank,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5de6ce67300a557e&fccid=6f87f0f19f9e71be&vjs=3
Engenheiro(a) de Dados Sênior,Acesso,"São Paulo, SP",há 1 dia,https://br.indeed.com/rc/clk?jk=fcbcfc9342a3070d&fccid=345c37a20c4ce3af&vjs=3
Cientista de Dados,Centro de Excelência Votorantim BR,"São Paulo, SP",há 25 dias,https://br.indeed.com/rc/clk?jk=b181a9d21f546385&fccid=7de668657fe22211&vjs=3
Data Engineer,e-Core,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=385ca1a8aa876be9&fccid=6f633518ec1f6fed&vjs=3
DESENVOLVEDOR WEB,TCS,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5bc95b6501c8f6bb&fccid=c78fdfc4443d4537&vjs=3
Facilitador Q4 @ Kenzie Academy Brasil,Kenzie,"Curitiba, PR",há 9 dias,https://br.indeed.com/rc/clk?jk=6a153c392d4ce376&fccid=b60f54579d234231&vjs=3
Analista Suporte Vendas Jr (Desenvolvedor Web) | Recife/PE,Vivo (Telefônica Brasil),"Recife, PE",há 5 dias,https://br.indeed.com/rc/clk?jk=1719683d60b1e2a1&fccid=af82f506ed7ea7e1&vjs=3
ESTÁGIO EM C/C++,Eldorado,"Campinas, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=016fcb917123891a&fccid=70cf64a0b596b733&vjs=3
Engenheiro(a) de Dados Hadoop Júnior (remoto),GeekHunter,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=bd0a7f1674ecba55&fccid=9ba8dec3013c0c90&vjs=3
Analista de Relações Humanas Sr,Promon Logicalis,"Barueri, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9b7b8ae68c06767b&fccid=0ca596ca3fb8305d&vjs=3
Analista de Operações (Planejamento) Pleno,Zoop,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5a303f7b50203d6b&fccid=17db650bc29ccff0&vjs=3
Application Engineer Manager,Cadence Design Systems,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a55d52f4cb3f5c64&fccid=391006290e845887&vjs=3
Analista de Business Intelligence - Pleno - Porter Group,BURH,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ddfcd106f8e42883&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python Sr.,Requisita,"Brasília, DF",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=745b47d2b6bfc066&fccid=631fe2eb981b69d2&vjs=3
Growth Data Senior Analyst,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e21e7bf92e204416&fccid=7c874ded2b2c6886&vjs=3
Finance Business Analysis Lead,Shopee,"São Paulo, SP",há 29 dias,https://br.indeed.com/rc/clk?jk=f749350de3d27cf9&fccid=0b476c4a7add47fe&vjs=3
Especialista em Banco de Dados,Prowork Consultoria,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=192ee21739273499&fccid=ce1ea72f8e039a1d&vjs=3
Senior Data Scientist,Softplan,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6962727dae6fa18f&fccid=533959b40d0e9798&vjs=3
Analista de Infraestrutura de Redes Sênior,ViaVarejo,"São Caetano do Sul, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=13cdd52e30650c73&fccid=7d163c3b66f5e287&vjs=3
Senior Data Engineer,Zenvia Mobile,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c54a9bb5fdf204fa&fccid=715a132a3d100cc5&vjs=3
Analista de Serviços Financeiros Pleno,ViaVarejo,"São Caetano do Sul, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=dc44c04b5bbd733c&fccid=7d163c3b66f5e287&vjs=3
ANALISTA INFRAESTRUTURA PL – STORAGE AUTOMATION (13348),Bosch Group,"Campinas, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=b98892881bd64d14&fccid=a2faf1301ac6ad4b&vjs=3
Analista em Ciência de Dados,Jüssi,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=445f677a0dc13cf2&fccid=9017111342883c49&vjs=3
Analista de Dados,Recrutamento Externo,"São Paulo, SP",há 26 dias,https://br.indeed.com/rc/clk?jk=4f89956ac484df09&fccid=039df17d98633a49&vjs=3
Analista de Dados Pleno - Prime,B2W Digital,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a8d3055e6529865c&fccid=9a54cd3cc68df0fc&vjs=3
Data Scientist,IBM,"Hortolândia, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e3b5294870cc9749&fccid=de71a49b535e21cb&vjs=3
Apprentice Data Engineer - QuantumBlack,McKinsey & Company,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=abf8b0ef1947aa95&fccid=6576e7250aa78c3c&vjs=3
Cientista de dados,Leroy Merlin,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0daaca28f600f993&fccid=cd30c4ea8664400d&vjs=3
Desenvolvedor Full Stack (Python),Núcleo de Informação e Coordenação do Ponto BR,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=38a72984770536b7&fccid=b0fe575092d657ba&vjs=3
Analista de Suporte de Redes,Curriculum.com.br,"Brasília, DF",há 6 dias,https://br.indeed.com/rc/clk?jk=24205d64f06f6323&fccid=22d7ce555383096d&vjs=3
Analista de Monitoramento Sênior,Zoop,"Rio de Janeiro, RJ",há 26 dias,https://br.indeed.com/rc/clk?jk=3b248530e5806978&fccid=17db650bc29ccff0&vjs=3
LÍDER DE PROJETO (EMBARCADO/MOBILE),Eldorado,"Campinas, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=a1dd9d2664c6208e&fccid=70cf64a0b596b733&vjs=3
COORDENADOR DE PLANEJAMENTO COMERCIAL,Agibank,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=30644ae084f8bc8c&fccid=5bfedbcf67a5d2dd&vjs=3
Analista Dados Sr,GPA,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9bd26374b6324785&fccid=83fb4cf0f3db6c61&vjs=3
Data Engineer,Prowork Consultoria,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=57308ebf1b10b7c2&fccid=ce1ea72f8e039a1d&vjs=3
Desenvolvedor Back End,CPQI,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=d9d4f3126a5669a7&fccid=128762ebf7553224&vjs=3
Desenvolvedor RPA,SBK BS,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2de4c1ff49cfbb54&fccid=d64cf1bfcd851092&vjs=3
Big Data Engineering (Specialist),Samsung Electronics,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=29363b5d67bbded3&fccid=da3c7fed78dd1607&vjs=3
Analista de Gestão de Estoques,Lojas Renner,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=186b3adc6e8f9ae0&fccid=0421650f9c724b35&vjs=3
Senior Backend Engineer - Audience,Lucid,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2d0d10054672c6b2&fccid=a7a24e70a190e821&vjs=3
Facilitador de ensino de programação - Node/Python,Prowork Consultoria,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=54ee65ca387d0b23&fccid=ce1ea72f8e039a1d&vjs=3
Technical Support Analyst I,CSG,"Londrina, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=dec918a13f52fd47&fccid=eef9d7ab941b9433&vjs=3
Desenvolvedor de RPA - Curitiba/PR,ROIT,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d9f32c79a014f925&fccid=881947d7f3319cbd&vjs=3
[A10] Cientista de Dados,Porto Digital,"Recife, PE",há 5 dias,https://br.indeed.com/rc/clk?jk=d005226ae50f8448&fccid=093ef6b3d1ea3836&vjs=3
Analista QA,Share RH,"Jaguariúna, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=22b94e467ac8cf42&fccid=a348a1a87f84f063&vjs=3
IT Manager,Cadastra,"Porto Alegre, RS",há 11 dias,https://br.indeed.com/rc/clk?jk=93c932340b63f1b2&fccid=599957f551c7eff1&vjs=3
Analista de Dados Pleno,tembici.,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8283eb24720c79ed&fccid=90220ad0f8ca290d&vjs=3
Sales Ops,Pipefy,Remoto,há 19 dias,https://br.indeed.com/rc/clk?jk=d426c3f79d28ae72&fccid=ee369d97968ef88b&vjs=3
C++ Developer | Full Remote,DEXTRA,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=19c938a840119c0d&fccid=f11cf1a9f70181d8&vjs=3
Dev Backend Sênior (Python/Django),Page Personnel,"São Paulo, SP",há 10 dias,https://br.indeed.com/rc/clk?jk=57bf25df1fcdf9ed&fccid=e5ea1ff710ce39ca&vjs=3
Estatístico,Energisa - Recrutamento Externo,"João Pessoa, PB",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=eca5f25e117e6b53&fccid=3b88f8e20a38413a&vjs=3
Summer Intern Data Scientist - QuantumBlack,McKinsey & Company,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=82f566f21e112849&fccid=6576e7250aa78c3c&vjs=3
Estagiario,Stefanini,"Brasília, DF",há 19 dias,https://br.indeed.com/rc/clk?jk=e2c08a8fb6af5055&fccid=b5f60e05a12127f4&vjs=3
AUTOMATIZADOR RPA SR,SYSMAP,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5dee3b95d7b746c0&fccid=6681c12f3b45de16&vjs=3
Desenvolvedor (a) Back End,MadeiraMadeira,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8d2a8b110bc71268&fccid=7522264cf9717691&vjs=3
Data Scientist Pleno,will bank,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=043bef903307fa23&fccid=6f87f0f19f9e71be&vjs=3
Programador Web,Empregos ATRS,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0c834a108ff93b8c&fccid=ceefeb9cef346138&vjs=3
SR Site Reliability Engineer (SRE),Zenvia Mobile,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7d5d805b5fdaea62&fccid=715a132a3d100cc5&vjs=3
Consultor de tecnologia,DXC,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=3a71bd7454117349&fccid=feaabf8e6a699d3c&vjs=3
Cientista de Dados Pleno,Sciensa,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=b8957e940da370ef&fccid=f73b61420f86f93c&vjs=3
ANALISTA DE SISTEMAS - RIO DE JANEIRO,OEmprego,"Rio de Janeiro, RJ",há 21 dias,https://br.indeed.com/rc/clk?jk=b64c8f6a040ba5aa&fccid=919b31f0a22ef58e&vjs=3
Data Scientist Sr.,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=27bc248363f5fd6f&fccid=7c874ded2b2c6886&vjs=3
Engenheiro(a) de Dados (remoto) JavaScript,GeekHunter,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5ec7ea334c532433&fccid=9ba8dec3013c0c90&vjs=3
Estágio em Análise de Dados,Equinix,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=20928d336f546c5c&fccid=e15d9e27876d9dc3&vjs=3
Financeiro | Analista de Planejamento Sr,Hurb,"Rio de Janeiro, RJ",há 25 dias,https://br.indeed.com/rc/clk?jk=ab063006ee5af5f1&fccid=a784efba46c28b98&vjs=3
Senior Data Analytics,Lojas Renner,"Porto Alegre, RS",há 11 dias,https://br.indeed.com/rc/clk?jk=0e50ca609a230c7c&fccid=0421650f9c724b35&vjs=3
Data Enginer PL/SR,Publicis Worldwide,"Vila Nova, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=47b0422c52a3eb32&fccid=db7f53db949dad57&vjs=3
Analista de Logística | Projetos Logísticos,Lojas Renner,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=76fe4ab3bfca2008&fccid=0421650f9c724b35&vjs=3
ANALISTA PLANEJAMENTO OPERACOES SR,Platos,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=bb54b500089ede12&fccid=d04f061ed9cb18fe&vjs=3
DATA ENGINEER,Bemol Digital,Remoto,há 19 dias,https://br.indeed.com/rc/clk?jk=c4a307b7324beb61&fccid=4e50a5299dcb0b8e&vjs=3
Estágio Superior - Processos,Jabil,"Minas Gerais, AC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=bcf50a1e0b1dd534&fccid=0b46d1863c3b0bf5&vjs=3
Analista de Sistemas - Remoto,Grupo Barcelos,Remoto,há 6 dias,https://br.indeed.com/rc/clk?jk=d7b0b28aebf394b3&fccid=8fcd0378cf7c70f4&vjs=3
Analista de Logística | Projetos Simulação e Otimização,Lojas Renner,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a5c5e2217eb63175&fccid=0421650f9c724b35&vjs=3
Consultor de Prevenção de Perdas,GPA,"São Paulo, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=5c2a93312db912c6&fccid=83fb4cf0f3db6c61&vjs=3
Risk Data Scientist,Trustly,"Vitória, ES",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=758adc851550ea54&fccid=26c16076c8b589a8&vjs=3
Analista de Business Intelligence (BI),Natural One,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=407553d5523c4b00&fccid=bb92071680cccc9d&vjs=3
ENGENHEIRO DE DESEMPENHO,Yaman,"Barueri, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=91f254a723b76db3&fccid=33653b725b362ef8&vjs=3
Growth Operations Specialist,Loft,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1251d04448f8551e&fccid=4b1d61db47b337be&vjs=3
Analista de Monitoramento,Grupo Mult,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ed7d9eaf81f91590&fccid=e2fac9bfc0cf550e&vjs=3
Researcher Specialist (Data Scientist),Samsung Electronics,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7d1a9f883b97f666&fccid=da3c7fed78dd1607&vjs=3
[BELO HORIZONTE] Cientista de Dados,RADIX Engenharia e Software,"Belo Horizonte, MG",há 20 dias,https://br.indeed.com/rc/clk?jk=74c10b2eeede8a82&fccid=833e800ebc6f3f29&vjs=3
ANL I MESA DE ENERGIA,Itaú Unibanco,"São Paulo, SP",há 9 dias,https://br.indeed.com/rc/clk?jk=ecc587bed50dc253&fccid=df3b23afae2f3514&vjs=3
Channels Ops - Data 'n Hacks,Loft,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ef6d8be51b31ba55&fccid=4b1d61db47b337be&vjs=3
Desenvolvedor(a) Data Science BigData,GeekHunter,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=92167060a9626362&fccid=9ba8dec3013c0c90&vjs=3
Desenvolvedor RPA,Ernst & Young,"Rio de Janeiro, RJ",há 10 dias,https://br.indeed.com/rc/clk?jk=25aafc23ded84f70&fccid=1544766d4c2915b0&vjs=3
Estagiário - DV,Divulga Vagas,"Colombo, PR",há 4 dias,https://br.indeed.com/rc/clk?jk=25d24c2b624453b3&fccid=1abbffd7f44ec1e9&vjs=3
Engenheiro de Dados Sr - Python,Indra,"São Paulo, SP",há 27 dias,https://br.indeed.com/rc/clk?jk=f9c15613de83274d&fccid=7ebf81831a412784&vjs=3
ESPECIALISTA EM DEEP LEARNING PARA IMAGENS,Eldorado,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8d4bb3172cea0422&fccid=70cf64a0b596b733&vjs=3
Analista de Suporte (N2) - JUNIOR e PLENO,KRYPTUS,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=66081972db55ed5d&fccid=55d431a88bf4eb2b&vjs=3
Especialista Business Intelligence,Captalys,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=30bfa685981bc258&fccid=c1afee86ff1cad81&vjs=3
Estagiário de TI,Compet Engenharia,"Vitória, ES",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7869e3fbebc8be0a&fccid=2e2e524101f83d26&vjs=3
(Delivery Center - JPA) Cientista de Dados,Indra,"João Pessoa, PB",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ea5db0ebc37b938b&fccid=7ebf81831a412784&vjs=3
Cientista de Dados Sênior,Ernst & Young,"Brasília, DF",há 2 dias,https://br.indeed.com/rc/clk?jk=f67896b6eca00b37&fccid=1544766d4c2915b0&vjs=3
Product Validation Engineer II,Cadence Design Systems,"Belo Horizonte, MG",há 5 dias,https://br.indeed.com/rc/clk?jk=cf5a9c7c34fa338b&fccid=391006290e845887&vjs=3
ASSISTENTE DE INOVAÇÃO I - ALSOL,Energisa - Recrutamento Externo,"Uberlândia, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=53e81624289a2a70&fccid=3b88f8e20a38413a&vjs=3
Cientista de Dados Pleno,HAYS,"São Paulo, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=33b0060dc2d3f440&fccid=31670bef3ae6497b&vjs=3
DevOps Engineer SRE,Grupo Nexxees,"Florianópolis, SC",há 13 dias,https://br.indeed.com/rc/clk?jk=2a5f6350c0b193ea&fccid=db5f841247aaf759&vjs=3
Disseminador de Habilidades Digitais,KPMG,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f3bdb1723e267ed6&fccid=2dd390c3a48a7ed0&vjs=3
Engenheiro de Dados,Prowork Consultoria,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1f2e25204b921bd8&fccid=ce1ea72f8e039a1d&vjs=3
Desenvolvedor Python Sr.,Datainfo,"Brasília, DF",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7da728ba3492d6ed&fccid=92f7e62d69e92fc8&vjs=3
Technical Architect,Zendesk,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=e9917f62f1197684&fccid=41e8f9abd9840a7a&vjs=3
Software Developer - Back-end,Shopee,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=fc1b56178567db83&fccid=0b476c4a7add47fe&vjs=3
ANALISTA INDICADORES PRODUTIVIDADE PLENO - Germed,Germed Pharma,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=20543345bb588f44&fccid=c002913ae99171ee&vjs=3
Analista de Dados Jr.,RSM,"Barueri, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a669acaf5faf8302&fccid=198b7374e1f8a26f&vjs=3
Frontend Software Engineer (Experienced),Nuuvem,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2244d69c3be4dd64&fccid=d0c339cc3c5a3acd&vjs=3
Arquiteto de Dados,BandVagas,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=35d7dd2ccf1cf692&fccid=d877b07b4ff11152&vjs=3
Dev Fullstack Pleno - Remoto,Weego,Remoto,há 19 dias,https://br.indeed.com/rc/clk?jk=4491649aa3ee9177&fccid=dd017e1a04c14a3f&vjs=3
Desenvolvedor de Software Processamento de Linguagem Natural JR - (Campinas e Recife),SiDi,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=362c841b0e4e7490&fccid=d944f1c7c41daa58&vjs=3
Product Analytics Leader,Pipefy,Remoto,há 17 dias,https://br.indeed.com/rc/clk?jk=c2a8ba83f603fa13&fccid=ee369d97968ef88b&vjs=3
Cientista de Dados Sênior,GuiaBolso,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4dcc0c6ab345e755&fccid=bb0e48675138d4c8&vjs=3
Engenheiro de Dados Sênior,Gateware IT,"Jaguariúna, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=90fc8cf871f56005&fccid=a562518da27c66ae&vjs=3
GRUPO SOMA | Cientista de Dados Sênior - SomaLabs,GRUPO SOMA,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5216be93736da426&fccid=0cd8994d637776c6&vjs=3
Dev Full Stack,Bradoo Technologies,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0d3d0879065ddbcd&fccid=058efdd5d8c8fd06&vjs=3
Senior Analytics and Media Manager,Amzn Servicos de Varejo do Bra,"São Paulo, SP",há 10 dias,https://br.indeed.com/rc/clk?jk=40a58c9215ad6438&fccid=fe2d21eef233e94a&vjs=3
Senior Mobile Developer,Acesso Digital,"Londrina, PR",há 6 dias,https://br.indeed.com/rc/clk?jk=c4b55fce38bcd080&fccid=e6e7d7762e03d3a7&vjs=3
Analista de Dados São Paulo / SP,Grupo Zap,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=09c1fafd0870f083&fccid=4d2cda86cc97fbcb&vjs=3
Analista de Operações júnior II,Mobicare,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=21b20405e95d0344&fccid=f77ebbdbdee1ef5e&vjs=3
Analista de DataTech,F.biz,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=be5395a1b445cac6&fccid=4bc3710ff8234dd7&vjs=3
Operations Analyst / Operations Sr. Analyst - Food,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4547b47d4fe82a4f&fccid=7c874ded2b2c6886&vjs=3
